,ident,grp,col,country,cid,name,Unnamed: 0,Unnamed: 0.1,MEP.ID,FullName,Country,Party,EPG,correctYea,wrongYea,wrongNay,correctNay,GMP,CC,coord1D,coord2D,se1D,se2D,corr.1,lastname,firstname
535,96859,S_D,#FF0000,Romania,ROU,ioan_enciu,178.0,"ENCIU, Ioan",179.0,"ENCIU, Ioan",Romania,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,4149.0,187.0,160.0,1681.0,0.854414701461792,0.9438238627165292,-0.18169252574443806,-0.24234412610530895,0.0,0.0,0.0,ENCIU,Ioan
536,4436,S_D,#FF0000,Italy,ITA,gianni_pittella,515.0,"PITTELLA, Gianni",516.0,"PITTELLA, Gianni",Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2754.0,97.0,109.0,1086.0,0.875520288944244,0.949085516559565,-0.193625643849373,-0.266631454229355,0.0,0.0,0.0,PITTELLA,Gianni
537,97022,ALDE,#FFFF00,France,FRA,robert_rochefort,547.0,"ROCHEFORT, Robert",548.0,"ROCHEFORT, Robert",France,Mouvement Démocrate,Group of the Alliance of Liberals and Democrats for Europe,3641.0,408.0,358.0,1437.0,0.76256912946701,0.868925393566051,-0.12813575565815,0.139450520277023,0.0,0.0,0.0,ROCHEFORT,Robert
538,2073,S_D,#FF0000,UnitedKingdom,GBR,richard_howitt,290.0,"HOWITT, Richard",291.0,"HOWITT, Richard",United Kingdom,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3316.0,335.0,230.0,1212.0,0.7595418691635129,0.8890634203809151,-0.182456150650978,0.248228460550308,0.0,0.0,0.0,HOWITT,Richard
539,4319,EPP,#80BFFF,Spain,ESP,pilar_ayuso,29.0,"AYUSO, Pilar",30.0,"AYUSO, Pilar",Spain,Partido Popular,Group of the European People's Party (Christian Democrats),3052.0,135.0,105.0,1752.0,0.8770887851715091,0.952418715305313,-0.0152959516271949,-0.999883055686951,0.0,0.0,0.0,AYUSO,Pilar
540,36396,S_D,#FF0000,Italy,ITA,gianluca_susta,632.0,"SUSTA, Gianluca",633.0,"SUSTA, Gianluca",Italy,-,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1945.0,84.0,120.0,744.0,0.8467682600021359,0.929484963705496,-0.190247088670731,-0.250341564416885,0.0,0.0,0.0,SUSTA,Gianluca
541,96907,EUL_NGL,#990000,Cyprus,CYP,takis_hadjigeorgiou,270.0,"HADJIGEORGIOU, Takis",271.0,"HADJIGEORGIOU, Takis",Cyprus,Progressive Party of Working People - Left - New Forces,Confederal Group of the European United Left - Nordic Green Left,2038.0,813.0,354.0,811.0,0.6236066818237299,0.70941235059761,-0.9440142512321468,0.174632012844086,0.0,0.0,0.0,HADJIGEORGIOU,Takis
542,118710,NI,#DDDDDD,Italy,ITA,franco_bonanini,819.0,"BONANINI, Franco",820.0,"BONANINI, Franco",Italy,Indipendente,Non-attached Members,1807.0,162.0,95.0,623.0,0.8059695363044742,0.904354298474135,-0.127795800566673,-0.3896803855896,0.0,0.0,0.0,BONANINI,Franco
543,96861,EPP,#80BFFF,Bulgaria,BGR,nadezhda_neynsky,450.0,"NEYNSKY, Nadezhda",451.0,"NEYNSKY, Nadezhda",Bulgaria,Blue Coalition,Group of the European People's Party (Christian Democrats),3216.0,83.0,79.0,1846.0,0.9098136425018308,0.968989280245023,-0.0167994108051062,-0.94816654920578,0.0,0.0,0.0,NEYNSKY,Nadezhda
544,23704,EUL_NGL,#990000,CzechRepublic,CZE,jiří_maštálka,427.0,"MAŠTÁLKA, Jiří",428.0,"MAŠTÁLKA, Jiří",Czech Republic,Komunistická strana Čech a Moravy,Confederal Group of the European United Left - Nordic Green Left,2469.0,821.0,493.0,807.0,0.461669385433197,0.713725490196078,-1.0,0.0,0.0,0.0,0.0,MAŠTÁLKA,Jiří
