,Unnamed: 0,MEP.ID,FullName,Country,Party,EPG,correctYea,wrongYea,wrongNay,correctNay,GMP,CC,coord1D,coord2D,se1D,se2D,corr.1,lastname,firstname,name
688,"VERGIAT, Marie-Christine",689,"VERGIAT, Marie-Christine",France,Front de gauche pour changer d’Europe,Confederal Group of the European United Left - Nordic Green Left,2577.0,730.0,378.0,971.0,0.660805702209473,0.762027491408935,-0.871930539608002,-0.0812618881464005,0.0,0.0,0.0,VERGIAT,Marie-Christine,marie-christine_vergiat
689,"VERGNAUD, Bernadette",690,"VERGNAUD, Bernadette",France,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,4127.0,172.0,210.0,1587.0,0.8473964333534241,0.937335958005249,-0.196423918008804,-0.242662414908409,0.0,0.0,0.0,VERGNAUD,Bernadette,bernadette_vergnaud
690,"VERHEYEN, Sabine",691,"VERHEYEN, Sabine",Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),3249.0,142.0,100.0,2026.0,0.8840418457984921,0.956135580931666,-0.0115630244836211,-0.959311187267303,0.0,0.0,0.0,VERHEYEN,Sabine,sabine_verheyen
691,"VERHOFSTADT, Guy",692,"VERHOFSTADT, Guy",Belgium,Open Vlaamse Liberalen en Democraten,Group of the Alliance of Liberals and Democrats for Europe,3353.0,359.0,207.0,1490.0,0.789497673511505,0.895359585875393,-0.10335908085107799,0.324679106473923,0.0,0.0,0.0,VERHOFSTADT,Guy,guy_verhofstadt
692,"VIDAL-QUADRAS, Alejo",693,"VIDAL-QUADRAS, Alejo",Spain,Vox,Group of the European People's Party (Christian Democrats),3344.0,154.0,83.0,2140.0,0.8883001208305359,0.9585736759307809,-0.0101686930283904,-0.9999483227729801,0.0,0.0,0.0,VIDAL-QUADRAS,Alejo,alejo_vidal-quadras
693,"VIGENIN, Kristian",694,"VIGENIN, Kristian",Bulgaria,Coalition for Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2017.0,72.0,76.0,949.0,0.8682522773742679,0.9524727039177909,-0.186225891113281,-0.284811109304428,0.0,0.0,0.0,VIGENIN,Kristian,kristian_vigenin
694,"VILLIERS, Philippe de",695,"VILLIERS, Philippe de",France,Mouvement pour la France,Europe of freedom and democracy Group,346.0,445.0,300.0,1681.0,0.586218774318695,0.7312409812409809,0.9899189472198491,0.141635239124298,0.0,0.0,0.0,VILLIERS,Philippe de,philippe_de_villiers
695,"VLASÁK, Oldřich",696,"VLASÁK, Oldřich",Czech Republic,Občanská demokratická strana,European Conservatives and Reformists Group,2237.0,185.0,205.0,3140.0,0.811983287334442,0.9323738512224731,0.15517179667949696,0.686885893344879,0.0,0.0,0.0,VLASÁK,Oldřich,oldřich_vlasák
696,"VLASTO, Dominique",697,"VLASTO, Dominique",France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),2645.0,94.0,114.0,1489.0,0.876674890518188,0.9520958083832329,-0.022247526794672002,-0.929448127746582,0.0,0.0,0.0,VLASTO,Dominique,dominique_vlasto
697,"VOSS, Axel",698,"VOSS, Axel",Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),3508.0,193.0,79.0,2218.0,0.876138269901276,0.9546515505168391,-0.00553994067013264,-0.9025785326957699,0.0,0.0,0.0,VOSS,Axel,axel_voss
