Vote Id,Order,,Date,Title,Procedure,Leg/NonLeg,Type of Vote,Rule,Rapporteur,Link,Committee,Policy Area,Part no,Subject,Am no,Author,RCV,Result,Yaes,Nays,Abstentions,Excluded
11,2,2,16/09/2004,Situation in Iraq,RSP,Non,Joint motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign & security policy,,before § 2,4,GUE/NGL,RCV,-,54,372,174,0
12,2,3,16/09/2004,Situation in Iraq,RSP,Non,Joint motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign & security policy,,before § 3,2,Verts/ALE,RCV,-,89,328,174,0
13,2,4,16/09/2004,Situation in Iraq,RSP,Non,Joint motion for a resolution (oral amendment),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign & security policy,,§ 2,,0,RCV,+,567,7,21,0
14,2,5,16/09/2004,Situation in Iraq,RSP,Non,Joint motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign & security policy,,after rec A,1,Verts/ALE,RCV,-,138,280,176,0
15,2,6,16/09/2004,Situation in Iraq,RSP,Non,Joint motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign & security policy,,vote: resolution (as a whole),,0,RCV,+,533,43,26,0
16,2,1,16/09/2004,CITES Convention,RSP,Non,Motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign & security policy,,§ 3,,0,RCV,+,504,29,45,0
17,2,2,16/09/2004,CITES Convention,RSP,Non,Motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign & security policy,,vote: resolution (as a whole),,0,RCV,+,542,15,15,0
18,2,1,16/09/2004,Maldives,RSP,Non,Joint motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign & security policy,,vote: resolution (as a whole),,0,RCV,+,153,0,7,0
19,3,1,14/10/2004,Information and promotion measures for agricultural products,CNS *,Leg,Proposal for a Council regulation,s,Joseph Daul,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN,AGRI,Agriculture,,single vote,,0,RCV,+,568,17,10,0
20,3,1,14/10/2004,Ratification procedures of the Treaty establishing a Constitution for Europe and the communication strategy ,RSP,Non,Motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN,AFCO,Constitutional and inter-institutional affairs,,§ 2,§,0,RCV,+,447,107,54,0
21,3,2,14/10/2004,Ratification procedures of the Treaty establishing a Constitution for Europe and the communication strategy ,RSP,Non,Motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN,AFCO,Constitutional and inter-institutional affairs,,§ 5,11,IND/DEM,RCV,-,133,435,47,0
22,3,3,14/10/2004,Ratification procedures of the Treaty establishing a Constitution for Europe and the communication strategy ,RSP,Non,Motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN,AFCO,Constitutional and inter-institutional affairs,1,§ 6,§,0,RCV,+,479,110,35,0
23,3,4,14/10/2004,Ratification procedures of the Treaty establishing a Constitution for Europe and the communication strategy ,RSP,Non,Motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN,AFCO,Constitutional and inter-institutional affairs,2,§ 6,§,0,RCV,+,319,271,31,0
24,3,5,14/10/2004,Ratification procedures of the Treaty establishing a Constitution for Europe and the communication strategy ,RSP,Non,Motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN,AFCO,Constitutional and inter-institutional affairs,,After § 6,13,IND/DEM,RCV,-,133,453,30,0
25,3,6,14/10/2004,Ratification procedures of the Treaty establishing a Constitution for Europe and the communication strategy ,RSP,Non,Motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN,AFCO,Constitutional and inter-institutional affairs,,vote: resolution (as a whole),,0,RCV,+,449,141,36,0
26,3,1,14/10/2004,"Future of the Area of Freedom, Security and Justice",INI,Non,Proposal for a recommendation,s,Jean-Louis Bourlanges,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN,LIBE,"Civil liberties, justice & home affairs",,"§ 2 a), indent 3",4,GUE/NGL,RCV,-,265,324,16,0
27,3,2,14/10/2004,"Future of the Area of Freedom, Security and Justice",INI,Non,Proposal for a recommendation,s,Jean-Louis Bourlanges,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN,LIBE,"Civil liberties, justice & home affairs",,§ 2 c),8,GUE/NGL,RCV,-,249,343,19,0
28,3,3,14/10/2004,"Future of the Area of Freedom, Security and Justice",INI,Non,Proposal for a recommendation,s,Jean-Louis Bourlanges,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN,LIBE,"Civil liberties, justice & home affairs",,§ 2 after d),9,GUE/NGL,RCV,-,263,345,13,0
29,3,1,14/10/2004,Situation in Georgia,RSP,Non,Joint motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN,0,Foreign & security policy,,vote: resolution (as a whole),,0,RCV,+,538,31,22,0
30,4,1,26/10/2004,Control of certain diseases affecting bivalve molluscs,CNS *,Leg,Proposal for a directive of the European Parliament and of the Council,s,Giuseppe Gargani,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+PV+20041026+ITEM-008-02+DOC+XML+V0//EN&language=EN,JURI,Juridical affairs,,single vote,,0,RCV,+,625,12,7,0
31,4,1,26/10/2004,ECB 2003 annual report,INI,Non, Motion for a resolution,s,Alain Lipietz,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+PV+20041026+ITEM-008-02+DOC+XML+V0//EN&language=EN,ECON,Economics,,§ 6,3,Verts/ALE,RCV,-,267,367,26,0
32,4,2,26/10/2004,ECB 2003 annual report,INI,Non, Motion for a resolution,s,Alain Lipietz,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+PV+20041026+ITEM-008-02+DOC+XML+V0//EN&language=EN,ECON,Economics,1,§ 6,§,0,RCV,+,412,226,23,0
33,4,3,26/10/2004,ECB 2003 annual report,INI,Non, Motion for a resolution,s,Alain Lipietz,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+PV+20041026+ITEM-008-02+DOC+XML+V0//EN&language=EN,ECON,Economics,2,§ 6,§,0,RCV,+,371,278,18,0
34,4,4,26/10/2004,ECB 2003 annual report,INI,Non, Motion for a resolution,s,Alain Lipietz,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+PV+20041026+ITEM-008-02+DOC+XML+V0//EN&language=EN,ECON,Economics,,§ 9,4,Verts/ALE,RCV,-,231,397,38,0
35,4,5,26/10/2004,ECB 2003 annual report,INI,Non, Motion for a resolution,s,Alain Lipietz,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+PV+20041026+ITEM-008-02+DOC+XML+V0//EN&language=EN,ECON,Economics,,§ 11,6,Verts/ALE,RCV,+,318,280,66,0
36,4,6,26/10/2004,ECB 2003 annual report,INI,Non, Motion for a resolution,s,Alain Lipietz,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+PV+20041026+ITEM-008-02+DOC+XML+V0//EN&language=EN,ECON,Economics,,After § 21,9,Verts/ALE,RCV,-,228,397,45,0
37,4,7,26/10/2004,ECB 2003 annual report,INI,Non, Motion for a resolution,s,Alain Lipietz,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+PV+20041026+ITEM-008-02+DOC+XML+V0//EN&language=EN,ECON,Economics,,vote: resolution (as a whole),,0,RCV,+,318,299,45,0
38,5,1,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,05 02 01 01,345,0,RCV,-,121,466,0,0
39,5,2,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,05 02 10 01,461,0,RCV,+,315,205,12,0
40,5,3,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,05 03 02 05,285,0,RCV,-,172,404,28,0
41,5,4,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,05 03 02 13,462,0,RCV,+,510,50,45,0
42,5,5,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,11 02 03,380,0,RCV,-,81,481,13,0
43,5,6,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,13 04,296,0,RCV,-,63,509,8,0
44,5,7,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,01 02 04,469,0,RCV,+,484,120,3,0
45,5,8,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,04 03 03 02,495,0,RCV,-,221,363,5,0
46,5,9,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,04 04 09,377,0,RCV,-,53,516,38,0
47,5,10,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,08 11 01 01,290,0,RCV,-,64,524,6,0
48,5,11,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,14 02 01,292,0,RCV,-,81,511,10,0
49,5,12,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,16 04 02,583,0,RCV,+,473,114,3,0
50,5,13,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,18 03 08,593,0,RCV,+,451,111,7,0
51,5,14,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,18 08 01,600,0,RCV,+,486,114,5,0
52,5,15,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,2,18 08 01,159,0,RCV,-,101,498,7,0
53,5,16,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,11 03 01,291,0,RCV,-,126,460,15,0
54,5,17,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,19 08 03,221,0,RCV,+,530,20,17,0
55,5,18,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,22 02 04 01,663,0,RCV,+,485,70,10,0
56,5,19,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,06 01 06,295,0,RCV,-,90,461,21,0
57,5,20,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,15 06 01 03,570,0,RCV,+,455,101,6,0
58,5,21,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,1,2723,727,0,RCV,+,438,125,2,0
59,5,22,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,2,2723,727,0,RCV,-,237,319,10,0
60,5,23,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,2727,439,0,RCV,+,462,101,14,0
61,5,24,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,11,449,0,RCV,+,493,67,8,0
62,5,25,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,1891,450,0,RCV,+,493,50,9,0
63,5,26,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,11,413,0,RCV,+,487,65,9,0
64,5,27,28/10/2004,General budget of the European Union - 2005 financial year,BUD,Bud,General budget of the European Union - 2005 financial year,q,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Budget,,1891,452,0,RCV,+,501,53,5,0
65,5,1,28/10/2004,2005 draft general budget: section III,BUD,Bud,2005 draft general budget: section III,s,Salvador Garriga Polledo,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,BUDG,Budget,,After § 1,3,GUE/NGL,RCV,-,91,375,5,0
66,5,1,28/10/2004,2006 draft general budget: section III,BUD,Bud,2005 draft general budget: section III,s,Salvador Garriga Polledo,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,BUDG,Budget,,After § 1,4,GUE/NGL,RCV,-,36,486,4,0
67,5,1,28/10/2004,2007 draft general budget: section III,BUD,Bud,2005 draft general budget: section III,s,Salvador Garriga Polledo,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,BUDG,Budget,,§ 15,,0,RCV,+,431,86,3,0
68,5,1,28/10/2004,2008 draft general budget: section III,BUD,Bud,2005 draft general budget: section III,s,Salvador Garriga Polledo,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,BUDG,Budget,,§ 18,,0,RCV,+,432,91,5,0
69,5,1,28/10/2004,2009 draft general budget: section III,BUD,Bud,2005 draft general budget: section III,s,Salvador Garriga Polledo,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,BUDG,Budget,,§ 26,5,UEN,RCV,-,256,274,11,0
70,5,1,28/10/2004,2010 draft general budget: section III,BUD,Bud,2005 draft general budget: section III,s,Salvador Garriga Polledo,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,BUDG,Budget,,§ 38,,0,RCV,+,435,92,5,0
71,5,1,28/10/2004,2011 draft general budget: section III,BUD,Bud,2005 draft general budget: section III,s,Salvador Garriga Polledo,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,BUDG,Budget,,After recital A,2,GUE/NGL,RCV,-,79,429,11,0
72,5,1,28/10/2004,2012 draft general budget: section III,BUD,Bud,"2005 draft general budget, resolution (as a whole)",s,Salvador Garriga Polledo,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,BUDG,Budget,,vote: resolution (as a whole),,,RCV,+,439,94,7,0
73,5,1,28/10/2004,2005 draft general budget: other sections,BUD,Bud,2005 draft general budget: other sections,s,Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,BUDG,Budget,,§ 12,,0,RCV,+,435,45,32,0
74,5,1,28/10/2004,2006 draft general budget: other sections,BUD,Bud,2005 draft general budget: other sections,s,Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,BUDG,Budget,,§ 21,,0,RCV,+,424,90,8,0
75,5,1,28/10/2004,2007 draft general budget: other sections,BUD,Bud,2005 draft general budget: other sections,s,Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,BUDG,Budget,,After § 22,1,Verts/ALE,RCV,-,132,366,23,0
76,5,1,28/10/2004,2008 draft general budget: other sections,BUD,Bud,2005 draft general budget: other sections,s,Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,BUDG,Budget,,§ 40,,0,RCV,+,448,70,4,0
77,5,1,28/10/2004,2009 draft general budget: other sections,BUD,Bud,2005 draft general budget: other sections,s,Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,BUDG,Budget,,§ 43,,0,RCV,+,444,65,4,0
78,5,1,28/10/2004,2010 draft general budget: other sections,BUD,Bud,2005 draft general budget: other sections,s,Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,BUDG,Budget,,§ 49,,0,RCV,+,465,57,2,0
79,5,1,28/10/2004,2011 draft general budget: other sections,BUD,Bud,"2005 draft general budget: other sections, resolution (as a whole)",s,Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,BUDG,Budget,,vote: resolution (as a whole),,0,RCV,+,455,66,6,0
80,5,1,28/10/2004,Result of the referendum and elections in Belarus,RSP,Non,Joint motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Foreign & security policy,,vote: resolution (as a whole),,0,RCV,+,449,20,22,0
81,5,1,28/10/2004,Naval sonars,RSP,Non,Motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,ENVI,Environment & public health,,§ 3,1,PPE-DE,RCV,-,206,259,15,0
82,5,2,28/10/2004,Naval sonars,RSP,Non,Motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,ENVI,Environment & public health,,vote: resolution (as a whole),,0,RCV,+,441,15,14,0
83,5,1,28/10/2004,Iran,RSP,Non,Joint motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC,0,Foreign & security policy,,vote: resolution (as a whole),,0,RCV,+,105,0,6,0
84,6,1,17/11/2004,Seed produced in third countries,CNS *,Leg,"Proposal for a Council directive, single vote",s,Joseph Daul,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041117&secondRef=TOC,AGRI,Agriculture,,single vote,,0,RCV,+,559,15,4,0
85,6,1,17/11/2004,ARGO programme,CNS *,Leg,"Proposal for a Council decision, single vote",s,Martine Roure,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041117&secondRef=TOC,LIBE,"Civil liberties, justice & home affairs",,single vote,,0,RCV,+,572,72,7,0
86,6,1,17/11/2004,Instrument of financial support (Cyprus),CNS *,Leg,Proposal for a Council regulation,s,Mechtild Rothe,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041117&secondRef=TOC,AFET,Foreign & security policy,,vote: legislative resolution,,0,RCV,+,618,39,24,0
87,6,1,17/11/2004,Arms exports,INI,Non,Motion for a resolution,s,Raül Romeva i Rueda,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041117&secondRef=TOC,AFET,Foreign & security policy,,§ 40,9D,PPE-DE,RCV,+,400,250,32,0
88,6,1,17/11/2004,ALTHEA mission in Bosnia and Herzegovina,RSP,Non,Motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041117&secondRef=TOC,AFET,Foreign & security policy,,Recital A,8,PPE-DE,RCV,+,507,75,102,0
89,6,1,17/11/2004,Climate change,RSP,Non,Motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041117&secondRef=TOC,ENVI,Environment & public health,,§ 12,,0,RCV,+,639,19,24,0
90,6,2,17/11/2004,Climate change,RSP,Non,Motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041117&secondRef=TOC,ENVI,Environment & public health,,vote: resolution (as a whole),,0,RCV,+,640,22,21,0
91,6,1,17/11/2004,Situation in Cuba,RSP,Non,Joint motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041117&secondRef=TOC,0,Foreign & security policy,,Recital B,,0,RCV,-,252,413,18,0
92,6,2,17/11/2004,Situation in Cuba,RSP,Non,Joint motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041117&secondRef=TOC,0,Foreign & security policy,,Recital D,,0,RCV,-,247,400,35,0
93,6,3,17/11/2004,Situation in Cuba,RSP,Non,Joint motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041117&secondRef=TOC,0,Foreign & security policy,,Recital F,,0,RCV,-,240,436,10,0
94,6,4,17/11/2004,Situation in Cuba,RSP,Non,Joint motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041117&secondRef=TOC,0,Foreign & security policy,,Recital G,,0,RCV,-,224,434,22,0
95,6,5,17/11/2004,Situation in Cuba,RSP,Non,Joint motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041117&secondRef=TOC,0,Foreign & security policy,,vote: resolution (as a whole),,0,RCV,-,260,405,19,0
