"Vote.Id" "Order" "X" "Date" "Title" "Procedure" "Leg.NonLeg" "Type.of.Vote" "Rule" "Rapporteur" "Link" "Committee" "Policy.Area" "Part.no" "Subject" "Am.no" "Author" "RCV" "Result" "Yaes" "Nays" "Abstentions" "Excluded"
"19" 19 3 1 "14/10/2004" "Information and promotion measures for agricultural products" "CNS *" "Leg" "Proposal for a Council regulation" "s" "Joseph Daul" "http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN" "AGRI" "Agriculture" "" "single vote" "" "0" "RCV" "+" "568" 17 10 0
"20" 20 3 1 "14/10/2004" "Ratification procedures of the Treaty establishing a Constitution for Europe and the communication strategy " "RSP" "Non" "Motion for a resolution" "s" "0" "http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN" "AFCO" "Constitutional and inter-institutional affairs" "" "§ 2" "§" "0" "RCV" "+" "447" 107 54 0
"21" 21 3 2 "14/10/2004" "Ratification procedures of the Treaty establishing a Constitution for Europe and the communication strategy " "RSP" "Non" "Motion for a resolution" "s" "0" "http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN" "AFCO" "Constitutional and inter-institutional affairs" "" "§ 5" "11" "IND/DEM" "RCV" "-" "133" 435 47 0
"22" 22 3 3 "14/10/2004" "Ratification procedures of the Treaty establishing a Constitution for Europe and the communication strategy " "RSP" "Non" "Motion for a resolution" "s" "0" "http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN" "AFCO" "Constitutional and inter-institutional affairs" "1" "§ 6" "§" "0" "RCV" "+" "479" 110 35 0
"23" 23 3 4 "14/10/2004" "Ratification procedures of the Treaty establishing a Constitution for Europe and the communication strategy " "RSP" "Non" "Motion for a resolution" "s" "0" "http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN" "AFCO" "Constitutional and inter-institutional affairs" "2" "§ 6" "§" "0" "RCV" "+" "319" 271 31 0
"24" 24 3 5 "14/10/2004" "Ratification procedures of the Treaty establishing a Constitution for Europe and the communication strategy " "RSP" "Non" "Motion for a resolution" "s" "0" "http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN" "AFCO" "Constitutional and inter-institutional affairs" "" "After § 6" "13" "IND/DEM" "RCV" "-" "133" 453 30 0
"25" 25 3 6 "14/10/2004" "Ratification procedures of the Treaty establishing a Constitution for Europe and the communication strategy " "RSP" "Non" "Motion for a resolution (as a whole)" "s" "0" "http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN" "AFCO" "Constitutional and inter-institutional affairs" "" "vote: resolution (as a whole)" "" "0" "RCV" "+" "449" 141 36 0
"26" 26 3 1 "14/10/2004" "Future of the Area of Freedom, Security and Justice" "INI" "Non" "Proposal for a recommendation" "s" "Jean-Louis Bourlanges" "http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN" "LIBE" "Civil liberties, justice & home affairs" "" "§ 2 a), indent 3" "4" "GUE/NGL" "RCV" "-" "265" 324 16 0
"27" 27 3 2 "14/10/2004" "Future of the Area of Freedom, Security and Justice" "INI" "Non" "Proposal for a recommendation" "s" "Jean-Louis Bourlanges" "http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN" "LIBE" "Civil liberties, justice & home affairs" "" "§ 2 c)" "8" "GUE/NGL" "RCV" "-" "249" 343 19 0
"28" 28 3 3 "14/10/2004" "Future of the Area of Freedom, Security and Justice" "INI" "Non" "Proposal for a recommendation" "s" "Jean-Louis Bourlanges" "http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN" "LIBE" "Civil liberties, justice & home affairs" "" "§ 2 after d)" "9" "GUE/NGL" "RCV" "-" "263" 345 13 0
"29" 29 3 1 "14/10/2004" "Situation in Georgia" "RSP" "Non" "Joint motion for a resolution" "s" "0" "http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN" "0" "Foreign & security policy" "" "vote: resolution (as a whole)" "" "0" "RCV" "+" "538" 31 22 0
"30" 30 4 1 "26/10/2004" "Control of certain diseases affecting bivalve molluscs" "CNS *" "Leg" "Proposal for a directive of the European Parliament and of the Council" "s" "Giuseppe Gargani" "http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+PV+20041026+ITEM-008-02+DOC+XML+V0//EN&language=EN" "JURI" "Juridical affairs" "" "single vote" "" "0" "RCV" "+" "625" 12 7 0
"31" 31 4 1 "26/10/2004" "ECB 2003 annual report" "INI" "Non" " Motion for a resolution" "s" "Alain Lipietz" "http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+PV+20041026+ITEM-008-02+DOC+XML+V0//EN&language=EN" "ECON" "Economics" "" "§ 6" "3" "Verts/ALE" "RCV" "-" "267" 367 26 0
"32" 32 4 2 "26/10/2004" "ECB 2003 annual report" "INI" "Non" " Motion for a resolution" "s" "Alain Lipietz" "http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+PV+20041026+ITEM-008-02+DOC+XML+V0//EN&language=EN" "ECON" "Economics" "1" "§ 6" "§" "0" "RCV" "+" "412" 226 23 0
"33" 33 4 3 "26/10/2004" "ECB 2003 annual report" "INI" "Non" " Motion for a resolution" "s" "Alain Lipietz" "http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+PV+20041026+ITEM-008-02+DOC+XML+V0//EN&language=EN" "ECON" "Economics" "2" "§ 6" "§" "0" "RCV" "+" "371" 278 18 0
"34" 34 4 4 "26/10/2004" "ECB 2003 annual report" "INI" "Non" " Motion for a resolution" "s" "Alain Lipietz" "http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+PV+20041026+ITEM-008-02+DOC+XML+V0//EN&language=EN" "ECON" "Economics" "" "§ 9" "4" "Verts/ALE" "RCV" "-" "231" 397 38 0
"35" 35 4 5 "26/10/2004" "ECB 2003 annual report" "INI" "Non" " Motion for a resolution" "s" "Alain Lipietz" "http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+PV+20041026+ITEM-008-02+DOC+XML+V0//EN&language=EN" "ECON" "Economics" "" "§ 11" "6" "Verts/ALE" "RCV" "+" "318" 280 66 0
"36" 36 4 6 "26/10/2004" "ECB 2003 annual report" "INI" "Non" " Motion for a resolution" "s" "Alain Lipietz" "http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+PV+20041026+ITEM-008-02+DOC+XML+V0//EN&language=EN" "ECON" "Economics" "" "After § 21" "9" "Verts/ALE" "RCV" "-" "228" 397 45 0
"37" 37 4 7 "26/10/2004" "ECB 2003 annual report" "INI" "Non" " Motion for a resolution" "s" "Alain Lipietz" "http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+PV+20041026+ITEM-008-02+DOC+XML+V0//EN&language=EN" "ECON" "Economics" "" "vote: resolution (as a whole)" "" "0" "RCV" "+" "318" 299 45 0
"38" 38 5 1 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "05 02 01 01" "345" "0" "RCV" "-" "121" 466 0 0
"39" 39 5 2 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "05 02 10 01" "461" "0" "RCV" "+" "315" 205 12 0
"40" 40 5 3 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "05 03 02 05" "285" "0" "RCV" "-" "172" 404 28 0
"41" 41 5 4 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "05 03 02 13" "462" "0" "RCV" "+" "510" 50 45 0
"42" 42 5 5 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "11 02 03" "380" "0" "RCV" "-" "81" 481 13 0
"43" 43 5 6 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "13 04" "296" "0" "RCV" "-" "63" 509 8 0
"44" 44 5 7 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "01 02 04" "469" "0" "RCV" "+" "484" 120 3 0
"45" 45 5 8 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "04 03 03 02" "495" "0" "RCV" "-" "221" 363 5 0
"46" 46 5 9 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "04 04 09" "377" "0" "RCV" "-" "53" 516 38 0
